# 2026年02月28日更新
BV19sA1zCEt7, 鸣潮我恨你！！！我到底动了谁的蛋糕！！！
BV1XRfpY6EXG, DSB女团冰火舞台送上过年《吉祥话》～/吉祥话
BV14fwjesEk2, 【原创曲】笙歌生日作国风小厨娘角色曲——《筷意江湖》/筷意江湖
BV1R4U2YDEPN, 瓦批唐帅自用你们不许用的高燃击杀初次投稿视频！
BV1hYStYZEwP, 大家一起睡觉不开心吗？
BV15rtaeVEEN, 经典翻唱《但愿人长久》一曲寄情中秋夜，祝愿月圆人亦圆【红晓音x笙歌】/但愿人长久
BV1E142187Mt, 你们不要为了我吵架...🤤🤤🤤
BV1Nz421i789, 新人第一次玩绝区零问出的灵魂问题，你们也会有这种疑问吗？
BV1GE421w7gi, 【电子国风原创曲】暑气正盛请君一碗【盛夏梅子汤】希望给您带来丝丝清爽凉意~/盛夏梅子汤
BV1Zx4y1W7F2, 【手书】⚡我们的必杀技⚡psp领域展开｜坐杀博徒
BV1LM4m127Hb, 【准备出发！】运动甜妹不得不唱的《蔚蓝档案》大运动会主题曲！/准备出发！/准备出发
BV1ME421P76f, 来看看我们同性链之间的默契吧！
BV1Qi421e7PH, 【Live2D模型展示】♡笙歌超国风风情带睡衣模型♡看一眼就沦陷~
BV1db421H7ZW, 〖早凉x笙歌〗经典国风歌曲合唱【霜雪千年】“梨花香，缠着衣角掠过熙攘”/霜雪千年
BV19x4y147a5, 空气感女声娓娓诉说〖月〗“我就是大千世界庸庸路人，你照亮我也照亮芸芸众生”cover郁可唯/月
BV1mZ421u7mF, 温柔女声斗破苍穹插曲《宿》翻唱，听过的斗之力都不止三段✋/宿
BV1DZ421H73X, 队友：你们两个小朋友几岁了？
BV1RM4m1r7Wf, 3L水到底能不能装进嘴里？「PSP知识竞赛」天才少女组笙呼汐
BV1rb421Y7XB, “ 我只是邀请她播联动而已... ”
BV1Vx421U71T, 虽然我和她心率上160了，但是我也喜欢你！
BV1mt421V7xG, 队友：唉，小孩姐？唉，变声器？
BV1Kt421b7GC, 【帕鲁小剧场】你不干有的是帕鲁干🤪👉🤡
BV1Um411D79K, 〖解忧曲〗国风温柔搭配RAP+戏腔，为你献上一曲忘忧！/解忧曲
BV1G2421c79R, 十位虚拟美少女携手给您拜年啦！『好运常在』【原神新春会】/好运常在
BV177421N7gn, 和我一起在《大雪》纷飞的时节迎接新年的到来吧！/大雪
BV1fC411z7qc, 【相亲相爱】2024祝大家！新年快乐！！！/相亲相爱
BV11H4y1q7ud, 【无畏契约】我们瓦罗兰特也要有自己的“孟获”。。。
BV18M411Q7rB, 钓鱼大师背后的诀窍是……？【psplive小剧场】
BV1Ku411g7gX,, 《白石溪》/《未闻花名》【psplive四周年】, 白石溪, 未闻花名
BV1Bz4y1K7UE, 温柔女声｜经典情歌——杨丞琳《暧昧》, 暧昧
BV1qG411Z7b1, 给主播上总督真的可以为所欲为吗？
BV1qj411B7ps, 【日清合味道× psplive】原创歌曲《若行星海》MV正式发布！/若行星海
BV1Dp4y137gY, 冰火歌会《你曾是少年》青春毕业歌曲，当我和世界初相见，当我曾经是少年/你曾是少年
BV1R841117dd, 《塔 宝 中 奖》
BV1cu411a7nH, 工 会 老 板 常 用 话 术 【艾露露 笙歌 星汐 】
BV1Ch411T7XR, 【十年如烟】空气感清澈女声周年献唱好声音治愈歌曲/十年如烟
BV1Ro4y1u7i9, V圈最温馨的一集天才填词版《老克去哪儿》/爸爸去哪儿
BV1QX4y187eG, 笙歌直播生涯个人简历填词改编爆笑歌曲《百变千金》！/百变千金/百变酒精/百变奶精
BV1Uz4y1b7wn, 【原创曲】笙歌温柔演绎国风角色曲 —《小塔姑娘》/小塔姑娘
BV13m4y1y72W, 《你知道我明日方舟抽卡有多欧吗？》
BV1pL411a7mv, PSP幼儿园集体广播体操汇演
BV1tM411G7YK, 异域风情柔软身姿献唱【舞娘】——旋转，跳跃我闭着眼/舞娘
BV1tM4y1y7oS, 地理天才教你理塘是哪里的！
BV1bs4y1N78y, 和虚拟主播同行谈恋爱？！
BV1cs4y1D7ph, 捏好人了，但买错了衣服
BV1KT411z7zH, 太唐了！四个主播一个小时都过不了第一关？！
BV1qM411E7XF, 【逃离后室】玩游戏最恐怖的一集
BV1SM4y1f7hU, 偶像结婚了，孩子不是我的
BV1p14y1c7ua, 笙歌心跳情人节互动视频，个性装扮即将上线啦！
BV1D8411n7kM, 要与妾身共舞吗？绝美异域风！『舞娘』【兰音×扇宝×说说×笙歌×唐九夏】/舞娘
BV1Fv4y127T4, 《世界弹射物语》Blessing「将感谢寄托于歌，愿祝福常伴身侧」/Blessing
BV1XK411m72n, 我有个朋友被摸了腿还被钓鱼，大家可以安慰她一下吗？
BV1MG411A7uA, 《你怎么知道我女枪五杀了？》
BV12e4y1j71v, 笙歌【芒种MMD】一想到你我就wuwuwu～/芒种
BV1oe4y1v7qQ, 零基础第一次跳舞，《大喜》会跳成什么样呢？/大喜
BV1WG4y1n78E, 虚拟主播合唱国风戏腔燃曲应援LPL——我是《天选》,也是唯一！LPL加油！/天选
BV1WW4y1H71E, 山海之间，愿我们乘风。/乘风
BV1KR4y1R7ju, 用六十部动漫唱一首《青花瓷》！！！【中文填词翻唱/笙歌】/青花瓷
BV1vP411E7hZ, PSPLive三周年文艺汇演[上]/眉南边
BV1Na41137as, 国风温柔小唱几句《星河叹》/星河叹
BV1zV4y1E7Lb, 你知道虚拟主播要多少彩礼钱吗？！
BV17Y4y1n7MT, 《直播间总督因七宗罪频频消失！主播克总督是真的吗?》
BV1et4y1h7F1, 【三月雨】国风温柔带你重温超经典歌曲——「笙歌」/三月雨
BV17g411o7sx, 和王心凌一起唱爱你！/爱你
BV1bY4y1z7uu, 【笙歌】周年投稿 —《懒人》/懒人
BV16u411r7Ab, 《什 么 是 管 人 啊》
BV1nT4y167KS, 这样庆祝自己十万粉了是可以的吗/好运来
BV1BY4y1k7oj, 《你怎么知道我卡莎五杀了？》
BV1RL4y1G7ya, 我不想玩了！
BV14u411e73D, 【Live2D模型展示】能扭能晃国风温柔or风情舞姬?『帅比笙歌超可爱OvO』
BV1A94y1Z7s8, 随便唱了下《letting go》随便发一下/letting go
BV1Tr4y1p7sf, 主 播 胸 前 的 竟 然 是 泡 奶 枸 杞？！
BV1d44y1K7Q6, 我竟然被大富翁电脑乱杀！
BV1ZS4y1S7j7, APEX里真正的孤勇者！/孤勇者
BV1SU4y1f7pN, 进来看怎么边APEX边唱歌, 勾指起誓, 懒人, 云与海, 
BV1aq4y1x7xi, 为什么九九乘法表没有十啊！
BV1MY41157Cu, 我不是女通讯录！！！
BV1jR4y1L7Fv, 《情 人 节 装 逼 神 器》
BV1734y117q1, 笙歌【动态壁纸】穿上小裙子就能闪闪发光
BV1z3411E7Gt, 《怎么会有人在别人生日的时候让她磕头啊》——内德维德锐评PSP不尊重他
BV1ba41127Fn, 『笙歌』年夜饭不得不听的《大喜》｜祝大家新年快乐！/大喜
BV1uT4y12782, 梦回经典古风歌《琴师x倾尽天下》—水墨画风│男女合唱『笙歌＆王老九』/琴师+倾尽天下
BV1Fr4y1i7g5, 原创曲生日作【虚拟paradise】—笙歌 ｜有没有被虚拟主播治愈过的瞬间/虚拟paradise
BV1TZ4y1Q7d3, 四宝大战恐鬼症
BV15i4y1R7BG, 『揍击派对』PSP内战还是一起暴揍内德维德？！
BV1TR4y137Jk, 中日双语版超经典歌曲《美丽之物》「红晓音＆笙歌」/美丽之物/美しきもの
BV1xR4y137p5, 直播中做了几次性取向测试。。。然后
BV1kF411B7mZ, 【冰火歌合战应援季】笙歌26号给你带来好听歌曲~
BV1bL4y1n7ju, 危！得罪老板之后不会要毕业吧！
BV1zY411W73h, 再叫麻麻我就紫砂！
BV1cR4y1b7W4, 我是不会为SC屈服的！
BV1FR4y1E7at, 这是一个戒赌视频
BV1t34y1o7nN, 主播直言要和狗谈恋爱？？？
BV1nb4y1276n, 【笙歌x午哞哞】双御翻唱│又美又飒的《绝世舞姬》/绝世舞姬
BV14g411L7vF, 【APEX】我在坐牢 可我的队友连逛街都不会
BV1cg411L7pp, 【笙歌】难过233秒/难过233秒
BV1WQ4y1m7Uq, 【女驸马】橘势大好丨她与她的花烛前【笙歌×兰音】/女驸马·她与她的花烛前（逆水寒戏曲玩法推广曲）/女驸马丨她与她的花烛前/女驸马
BV1Tv411T7b1, 猪王争霸战
BV1Jf4y137ow, 人类早期驯服APEX珍贵录像
BV1XL411E7Af, 我竟然是个抖M主播？？？
BV1H54y1J7EF, 被粉丝用喵娘霸凌了？！我要毕业！
BV1A64y1x7UP, 被粉丝编造失恋故事棉花糖霸凌？我破防了！
BV1NV411p7iJ, 如何用卡祖笛成为大家的心魔/红叶寺
BV1YL411H7EU, B站炸了之后大家是如何给主播打call的
BV1sy4y1M7CK, 《屑主播新衣服发布不给看腿》
BV1EK4y1975B, 【热爱105kg的你】第一次玩健身 暴露体重了！
BV1bV411776w, 高考应援企划合唱曲《明天会更好》让你们的努力充满青春的骄傲 2021高考加油！/明天会更好
BV1hK4y1G72m, 【笙歌】周年小作文和《for you 写给你的歌》(cover 泠鸢)/for you 写给你的歌/For you.写给你的歌
BV1jB4y1c77q, 《温柔小姐姐给你听可以让人安心的奥斯曼人》
BV1Wi4y1A7tk, 【直播虚拟酱20】田中姬铃木雏经典再现无限循环 笙歌向粉丝吐露心声感动现场
BV14B4y1w7BV, 可恶！舰长们合伙用SC霸凌虚拟主播让她念羞耻小作文！
BV1By4y1x7Ms, 【笙歌x王老九】带rap男女双版本高燃翻唱——《天地劫》/天地劫
BV1rN411Q7A6, 【梅兰竹菊】《君子如歌》「超好听的清新甜美电子国风曲带你迎接万物复苏之春」/君子如歌
BV1Jy4y1a7n7, 《200舰感谢小作文》
BV1kC4y1h717, 【红叶寺】笙歌——就问你们够不够御姐是不是心魔！/红叶寺
BV1af4y1R7yZ, 【鲸】歌声空灵，能直击心脏让人泪下的翻唱——生而为鲸，死而为寂 体验不一样的深海。/鲸
BV1E54y1q7ve, 【笙歌】温柔洒脱女声翻唱《好字唯之》——忘川风华录/好字唯之
BV1Mg4y167hS, 【笙歌阿梓】汉江恋【原创曲】/汉江恋
BV1mJ411L7nk, 【慢冷】六岁怨妇女声翻唱梁静茹情歌啦！！！/慢冷
BV1jJ411s7Xs, 首发原创 治愈男声不听后悔系列——【入梦探星河】/入梦探星河
BV1rJ41147gf, 【破裂】音阙诗听翻唱姬——有PV不摇头版气质女声温柔致郁翻唱（cover王梓钰）/破裂
BV1mJ411v72d, 【Halo&笙歌】男女声合唱《是风动》， 见你如是才无憾/是风动
BV1TE411a7Fi, 【笙歌】音之守护者2.0主题曲《沿花路前行》翻唱——这次不是怨妇音，是你没听过的甜美治愈！/沿花路前行
BV1g4411y7P2, 原创PV【人间不值得】—— 开口跪温柔女声绝美戏腔/人间不值得
BV1J4411r7pr, 【叁夜子x Braska x 笙歌 x 真是怪怪的】《君子如歌》【晋昕音乐】「新潮国风电子带你领略不一样的梅兰竹菊」（大型国风音乐企划『次时代国风』系列首作）/君子如歌
BV1G4411r7Yj, 【芒种】超甜少女版原创PV「一想你我就啊哈哈哈哈哈哈」/芒种
BV1H4411V73k, 带念白催泪向剪辑——狐妖竹业篇【人间白首】怨气女声翻唱/人间白首
BV1z4411M7JH, ⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄第一次投稿这种风格的歌——『食色』，“幸”也。/食色
BV16441157bB, 【是你依然在】两周年投稿—感谢每一个能听我唱歌的人/是你依然在
BV1bb411x7fb, 【阿梓x小可x笙歌】当三个不同声线的女生唱《勾指起誓》会产生什么反应！/勾指起誓
BV1sb41187LP, 【小拍子x笙歌】藏——超“甜美”男女声合唱/藏
BV1Wt41187zn, 【王老九x笙歌】知否知否——应是绿肥红瘦/知否知否
BV1xt411v7U9, 【阿梓x笙歌】朝汐——两个“游戏”主播合唱的巅峰之作/朝汐
BV1Qt411i7EX, 【人美路子野】快来听社会宝儿姐啦！——笙歌/人美路子野
BV1zb411N7dX, 【此生与你不过相逢】——笙歌/此生与你不过相逢
BV1Es411N7Er, 【浪人琵琶】——你们都是手势舞！我就不一样了！我是！！！看了绝对不亏！/浪人琵琶
BV1Hs411J7Rd, 【笙歌】是风动——不！是心动！/是风动
BV1xW41137Xj, 『笙歌』——何日重到苏澜桥/何日重到苏澜桥
BV1SW411V7sL, 『笙歌』齐天——大圣归来混剪/齐天
BV1aW411T7DB, 敲好听合唱(◕∀◕)【古风】倩音流年——笙歌&黯尘/倩音流年
BV1KW411W7V9, 『笙歌』—寄明月/寄明月
BV1SW411q7SY, 祝大家元旦快乐！皎然记——『笙歌』/皎然记
BV1SW41187ne, 【古风戏腔】封刀不为峥嵘——万粉福利投稿『笙歌』/封刀不为峥嵘
BV16x411u7EY, 『笙歌』造梦者/造梦者
BV18x411h7hY, 『笙歌』世末歌者/世末歌者
BV1ix411875F, 『笙歌』我的一个道姑朋友——念白版/我的一个道姑朋友
