# 2026年02月28日更新
BV1f1ZbB4EHf, 梓歌瞳舞！爽听爽看《鸳鸯戏》！/鸳鸯戏
BV1Y8411b7J5, 【艾因x七海x罗伊x阿萨x阿梓x小可】CHANGE！【夏日合唱Super】/CHANGE！
BV1FY4y1N78w, 我们的夏天永不落幕！
BV1Dg411m7GD, 【青春补完计划】这还不能让你喜欢上开学？
BV1uW4y1i7a8, 《镜花堂》小海梓倾情翻唱！/镜花堂
BV1JD4y1z7d7, 【夏日合唱宣传片】震惊！虚拟主播被通缉事件！
BV1nU4y167p5, 【七海x阿梓x小可】原创曲《限定游戏》心动上线（Prod.苏逸）/限定游戏
BV1Lv4y1F7cT, 【重磅消息】小海梓原创曲《限定游戏》预告
BV1bT411c79q, 【重大披露】小海梓全新3D衣装首次曝光！
BV18v4y1M7EQ, 【阿梓歌】《寓言+引路的风筝》国风纯享/寓言 + 引路的风筝 (Live)/寓言 + 引路的风筝, 寓言, 引路的风筝
BV1HZ4y1q73e, 虚拟主播高能放送83：她的绝招就是变身！
BV1Br4y1G7Du, 虚拟主播高能放送82：给我带上戒指
BV1st4y1p7xP, 【记念】现场版阿梓/记念
BV1FY4y1z7g5, 太帅了我太帅了我太帅了我太帅了我太帅了我
BV1uS4y1z7xY, 【阿梓】反方向的钟【重编曲翻唱】【原创PV】/反方向的钟
BV1rY4y1z7jX, 该我来接龙啦
BV1gi4y1U7JC, 【阿梓】忍者/忍者
BV1934y1e7k5, 【letting go】现场版 阿梓/letting go
BV19q4y1h7eU, 虚拟主播高能放送73：大哥大哥欢迎你！
BV1EY411J7xF, 纸片人翻唱！《不可言说》【阿萨&阿梓】/不可言说
BV1sF411W71c, 小学生版【没离开过】 阿梓/没离开过
BV1944y1P7pP, 【爱丫爱丫】现场版 阿梓/爱丫爱丫
BV1eS4y1372a, 【小海梓】流星舞蹈纯享版/流星
BV1b34y1b7fU, 【小海梓原创曲】流星/流星
BV1gq4y1i7xa, 虚拟主播高能放送69：她打我！愣是说成我打她！
BV1da411178m, 新春小记【2022拜年纪单品】/新春小记
BV1GP4y1N7tH, 虚拟主播高能放送65：世界上的另一个“我”
BV1Sr4y1Y78Y, 虚拟主播高能放送64：睡边上一起被Call醒了
BV19P4y1j7qN, 给阿梓画生日贺图！明明说好不要告诉她的~
BV1Am4y1S7Xq, 大家好我宣布个事
BV1tq4y1y7ei, 这时候就有观众会问了？这是啥
BV1AD4y1c7ZV, 【小海梓】圣诞舞曲串烧，一定要看完！
BV1na411k7iT, 【青溯/阿梓】原创曲-99%旅人【HB to 阿梓从小就很可爱】【竖屏PV】/99%旅人
BV1y3411s7BC, 【小海梓】虚拟刘关张
BV1ML4y1H7A1, 虚拟主播高能放送58：反正没人看 就想求个偶
BV1ZL4y1n7TU, 阿梓 溯/溯
BV1LP4y1V7Lp, 谁 是 喝 奶 王（翻唱rap）/谁 是 喝 奶 王/谁是喝奶王
BV1pf4y1u7pQ, 虚拟主播心得【合唱】少女，再生产！/舞台少女心得 幕間/舞台少女心得
BV1cu411f7LX, 啦啦啦德玛西亚
BV1AR4y1H7Cr, 【战双帕弥什】 丽芙·极昼主题曲丨《盘旋》【阿梓】/盘旋
BV1UU4y1A7h6, 【早教视频】阿梓折磨企鹅实录
BV1rL411s7XL, 破茧成蝶【阿梓】/破茧成蝶
BV1hL4y187oW, 【小海梓】心动…也只是对你哦《除了春天爱情和樱花》/봄 사랑 벚꽃 말고/除了春天爱情和樱花
BV1uv411A7op, 【海子姐合拍】一遍就会，一学就废
BV12h411W7Sm, 【4K高清】Oh！--夏日合唱ProMax/Oh!/Oh
BV1ef4y1H7h9, 【4K高清】星夜加冕--夏日合唱ProMax/星夜加冕
BV1Jf4y1G7ms, 【夏日合唱ProMax】足不出户也有的完美夏天
BV11g41157mD, 梓宝和汐宝出现了信任危机！？ 哦！反转了
BV1Yq4y1S7PL, 【小海梓】尝试一起跳了猛男版新宝岛
BV1Cb4y1U7J5, 虚拟主播高能放送41:请把大电池给茉里Mari
BV1FX4y1c7PP, 20W粉千舰3D纪念回
BV1e54y1E7xU, RingRingRing
BV1Hv411n7oS, 虚拟主播高能放送37: 游泳健身了解一下！
BV1DX4y1w7qj, VirtuaReal女生五人组描绘《群青》色彩/群青
BV1n44y1q7uX, 《灯火里的中国》/灯火里的中
BV1Tg411u7tQ, 蜜雪冰城甜蜜蜜！（小海梓唱跳版）/蜜雪冰城主题曲 (官方版)/蜜雪冰城
BV1WX4y1P72y, 【绝世舞姬  阿楚姑娘】冰火歌回切片, 绝世舞姬, 阿楚姑娘
BV1Yw411f79z, 汐：阿梓宝是我和mei酱的宝宝 和阿梓宝玩多少也没事
BV16h411a7Tc, 今天mei酱不在家
BV1rv411V75z, 高考贴士小课堂开课啦！《吉祥话》高考化学版【填词翻唱】/吉祥话
BV1HK4y1V7qh, 哒 哒 哒
BV1bK4y1X79i,, 后来/未来へ【阿梓/NoiR】\\后来
BV1bV411776w, 高考应援企划合唱曲《明天会更好》让你们的努力充满青春的骄傲 2021高考加油！/明天会更好
BV1Z54y1V7un, Do you知道ネコpiano？【NoiR/阿梓】
BV1Dh411v7t3, 【直播虚拟酱25】新人桃星被质疑没有朋友 阿梓查房绮楼误会“小心阿梓”
BV1WK4y1d7Td, 【手书】梓宝来了！！！
BV1oQ4y1Z7zr, 辅助只会心疼打野giegie~
BV1zA41157Lp, 想要你在身边【阿梓x里奈】/想要你在身边
BV1Gh411D75b, 大喜【阿梓翻唱】/大喜
BV1q5411w7n1, 讲出来！异 世 相 遇！尽 享 美 味！
BV1KV411v7eB, 虚拟主播高能放送18:同学们都来看我直播
BV1FA411M7hc, 一起拆开2020年的时光盲盒/时光盲盒
BV1Py4y1H7zN, 【阿梓】高ping战士/高ping战士
BV1mr4y1P7df, 【19人除夕合唱】2021·若/2021·若/若
BV19v4y1o7MA, 【一分钟红豆泥】鱼梓的日常①
BV1cU4y1x7Jf, 阿梓桑诺塞尔达之旅嘚丝
BV1r541177QB, 【阿梓】声控抽卡，目标新年限定池双满潜！无跳过加速剪辑【明日方舟】
BV1ZT4y1N7ph, 【汐梓初次联动】塑料日语与长沙中文的lol之旅【全熟】
BV16A411W7dv,, 【阿梓中文填词】想和扎扎人度过每一个《夜晚》(///▽///)\\밤(보고 싶은 가 밤)\\夜晚
BV1Va4y1p73h, 虚拟艺人演出【BW2020广州 · 12.26 UP演艺舞台】, AWSL
BV1By4y1i7EL, 【KBShinya x 阿梓】《AWSL》一首写给阿伟的原创歌/AWSL
BV1gD4y1R7su, 【双十一主题曲】快去买！买！买！/快去买买买/te-yut-te
BV1ay4y1B7jY, 乞丐模拟器
BV1Ja411c7ff, 【登乐V计划】张三的奇妙冒险之击剑牛头人
BV1Sa4y1L7AN, 是宅女真是太好了!!!/ろりこんでよかった~/是萝莉控真是太好了
BV1Av411C7vp, 【登乐V计划】绕口令惩罚环节
BV1zy4y1C7f8, 女生玩英雄联盟的真实想法
BV1DD4y1R7FX, 阿梓的配音作业
BV1cp4y1Y7vX, 【登乐V计划】Respect赵本山？虚拟主播也想成为rapstar！
BV1Si4y177kJ, 如果世界上只有一首歌能叫醒你，那么就是它了！/醒过来！/te-yut-te
BV16h41197tt, 不开心也拍手拍走伤痕累累！/月亮之上
BV15Z4y1T7py, 【登乐V计划】PK赛二十强，耳机塞上就别想出去了！（8月16日 上）/醒过来！/te-yut-te
BV1qa4y1J7kS, [阿梓] 古德奈先生（一首歌把你带回童年）/古德奈先生
BV17K411J7DC, 阿梓—《Real me》/Real me
BV19a4y1a7RK, 【柯基控必听】记录和萌宠甜蜜温馨的一天 Jay式前奏 超甜合唱曲【柯基日记】【管珩心】【阿梓】/柯基日记
BV1q54y1q73j, 【登乐V计划】——阿梓《呼吸决定》/呼吸决定
BV1Wv411B7Qh, 做了一首阴阳怪气的电音《不会吧》ft.阿梓/不会吧
BV1pT4y137eZ, 5月10日的带制作！[呲牙][呲牙]
BV1Mg4y167hS, 【笙歌阿梓】汉江恋【原创曲】/汉江恋
BV1T541147wg, [阿梓翻唱] 爱即正义/爱即正义
BV1R7411d74z, 【金坷垃】芜 湖 大 丰 收/DINOSAUR
BV1m7411K7VC, 大家一起流口水！/大家一起喜羊羊
BV1UJ411J79o, 我 也 下 山/下山
BV14J41177QU, 【阿梓】水果篮子 For フルーツバスケット/For フルーツバスケット/For Fruits Basket
BV1KJ411C7Wn, 野 狼 迪 斯 科/白金ディスコ
BV1nJ411m77U, 《涅槃》中文填词FPX版/涅槃
BV1qJ411S75E, 宅女disco/野狼disco
BV1rE411h76a, 【阿梓翻唱】月光/月光
BV18J411w7D3, 【阿梓】 孽海记/孽海记
BV1j4411m7rQ, 【阿梓】小摩托嘟嘟嘟/骑上我心爱的小摩托
BV1t4411H759, 【阿梓】世界第一可爱【原创曲】/世界第一可爱
BV1Ut411a7Yy, 【阿梓 生日作】不完美小孩/不完美小孩
BV1ot411v7hu, 【阿梓】无限少女 祝暖暖生日快乐~/无限少女
BV1ox411g7Vc, 【阿梓】母系社会  【初投稿~】/母系社会
